product,rating,rating count,price,product url
"ZAP IT! Bug Zapper Battery Powered (2xAA Included) Bug Zapper Racket, 3,500 Volt  ",4.3 out of 5 stars,"5,236  ",24.99,https://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg2_1?ie=UTF8&adId=A09111532W84WQ6RC7LEJ&url=%2FZAP-Bug-Zapper-Battery-Mosquito%2Fdp%2FB07KZQKWVP%2Fref%3Dsr_1_37_sspa%3Fkeywords%3Dzep%26qid%3D1665259224%26qu%3DeyJxc2MiOiI1LjcxIiwicXNhIjoiNS41MSIsInFzcCI6IjUuNjcifQ%253D%253D%26sr%3D8-37-spons%26psc%3D1&qualifier=1665259224&id=3746437160713294&widgetName=sp_btf
"GOBOT Electric Mop with Motorized Dual Spin Mopheads, Battery Display, LED Headlight, Lightweight & Rechargeable,4 Mop Pads & 2 Scrub Pads, Cleaning & Waxing for Hardwood/ Laminate Floor /Window/Tile  ",3.8 out of 5 stars,346  ,63.99,https://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg2_1?ie=UTF8&adId=A02578431MPV1BHY08OOK&url=%2FGOBOT-Motorized-Headlight-Lightweight-Rechargeable%2Fdp%2FB099ZP9HJF%2Fref%3Dsr_1_38_sspa%3Fkeywords%3Dzep%26qid%3D1665259224%26qu%3DeyJxc2MiOiI1LjcxIiwicXNhIjoiNS41MSIsInFzcCI6IjUuNjcifQ%253D%253D%26sr%3D8-38-spons%26psc%3D1&qualifier=1665259224&id=3746437160713294&widgetName=sp_btf
"EVERSPROUT 1.5-to-3 Foot Swivel Squeegee and Microfiber Window Scrubber (8-10 Ft Standing Reach) | 2-in-1 Window & Glass Cleaning Combo | Lightweight, Aluminum Extension Pole | Includes 10-inch Blades  ",4.4 out of 5 stars,"2,410  ",27.99,https://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg3_1?ie=UTF8&adId=A10092671K1TXP2V9SO7C&url=%2FEVERSPROUT-Squeegee-Microfiber-Lightweight-Extension%2Fdp%2FB07WNXYTDW%2Fref%3Dsr_1_33_sspa%3Fkeywords%3Dzep%26qid%3D1665259227%26qu%3DeyJxc2MiOiI1LjcxIiwicXNhIjoiNS41MSIsInFzcCI6IjUuNjcifQ%253D%253D%26sr%3D8-33-spons%26psc%3D1&qualifier=1665259227&id=8433320028702995&widgetName=sp_atf_next
"3pcs Drill Brush Scrub Brush Drill Attachment Kit, 2/3.5/4 inch Cleaner Combo Time Saving Kit and Power Scrubber Cleaning Kit, Grout Cleaner for Car, Bathroom, Wooden Floor, Laundry Room Cleaning  ",4.4 out of 5 stars,14  ,12.95,https://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg3_1?ie=UTF8&adId=A01347852X0KD1YHCWLY6&url=%2FAttachment-Cleaner-Scrubber-Cleaning-Bathroom%2Fdp%2FB09H3CXJ4B%2Fref%3Dsr_1_34_sspa%3Fkeywords%3Dzep%26qid%3D1665259227%26qu%3DeyJxc2MiOiI1LjcxIiwicXNhIjoiNS41MSIsInFzcCI6IjUuNjcifQ%253D%253D%26sr%3D8-34-spons%26psc%3D1&qualifier=1665259227&id=8433320028702995&widgetName=sp_atf_next
18 Pieces Microfiber Cloth Glass Cleaning Cloth Polishing Cloths (16 x 16) Microfiber Cloth for Glasses Reusable Cleaning Cloths for Windows Windshields Mirrors Stainless Steel Product (Blue)  ,4.6 out of 5 stars,59  ,22.99,https://amazon.com/Microfiber-Cleaning-Polishing-Windshields-Stainless/dp/B09T3CYMDT/ref=sr_1_36?keywords=zep&qid=1665259227&qu=eyJxc2MiOiI1LjcxIiwicXNhIjoiNS41MSIsInFzcCI6IjUuNjcifQ%3D%3D&sr=8-36
Zep Septic Tank Treatment 2 Pk  ,4.2 out of 5 stars,92  ,19.78,https://amazon.com/Zep-Septic-Tank-Treatment-Pk/dp/B00GRTRRTK/ref=sr_1_42?keywords=zep&qid=1665259227&qu=eyJxc2MiOiI1LjcxIiwicXNhIjoiNS41MSIsInFzcCI6IjUuNjcifQ%3D%3D&sr=8-42
"Lenicany 6Pack Pumice Stone for Toilet Cleaning Bowl Stick,Powerfully Cleans Hard Water Rings，Calcium Buildup & Stains, Suitable for Cleaning Toilet, Bathtubs, Kitchen Sink, Grill  ",4.7 out of 5 stars,"1,624  ",5.99,https://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg3_1?ie=UTF8&adId=A01318323PVA09K1XRRW0&url=%2FLenicany-Cleaning-Powerfully-Rings%25EF%25BC%258CCalcium-Suitable%2Fdp%2FB09PC1W676%2Fref%3Dsr_1_43_sspa%3Fkeywords%3Dzep%26qid%3D1665259227%26qu%3DeyJxc2MiOiI1LjcxIiwicXNhIjoiNS41MSIsInFzcCI6IjUuNjcifQ%253D%253D%26sr%3D8-43-spons%26psc%3D1&qualifier=1665259227&id=8433320028702995&widgetName=sp_mtf
"Electric Spin Scrubber - Cordless Power Scrubber Cleaning Brush - Shower Scrubber for Cleaning Scrub Brush for Bathroom,Tub,Floor,Sink,Tile,Grout,Window,Kitchen Stove Cooker, Household Cleaning Tools  ",5.0 out of 5 stars,4  ,39.99,https://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg3_1?ie=UTF8&adId=A00094503G3FKBKR9SEDX&url=%2FElectric-Spin-Scrubber-Cordless-Household%2Fdp%2FB0B9MW1NXZ%2Fref%3Dsr_1_44_sspa%3Fkeywords%3Dzep%26qid%3D1665259227%26qu%3DeyJxc2MiOiI1LjcxIiwicXNhIjoiNS41MSIsInFzcCI6IjUuNjcifQ%253D%253D%26sr%3D8-44-spons%26psc%3D1&qualifier=1665259227&id=8433320028702995&widgetName=sp_mtf
Zep D-4000 Hand Soap Dispenser - Pack of 1 - Industrial Durability  ,4.7 out of 5 stars,423  ,34.44,https://amazon.com/ZEP-D-4000-Hand-SOAP-Dispenser/dp/B000U5Y0GU/ref=sr_1_45?keywords=zep&qid=1665259227&qu=eyJxc2MiOiI1LjcxIiwicXNhIjoiNS41MSIsInFzcCI6IjUuNjcifQ%3D%3D&sr=8-45
"GOBOT Electric Mop with Motorized Dual Spin Mopheads, Battery Display, LED Headlight, Lightweight & Rechargeable,4 Mop Pads & 2 Scrub Pads, Cleaning & Waxing for Hardwood/ Laminate Floor /Window/Tile  ",3.8 out of 5 stars,346  ,63.99,https://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg3_1?ie=UTF8&adId=A02578431MPV1BHY08OOK&url=%2FGOBOT-Motorized-Headlight-Lightweight-Rechargeable%2Fdp%2FB099ZP9HJF%2Fref%3Dsr_1_53_sspa%3Fkeywords%3Dzep%26qid%3D1665259227%26qu%3DeyJxc2MiOiI1LjcxIiwicXNhIjoiNS41MSIsInFzcCI6IjUuNjcifQ%253D%253D%26sr%3D8-53-spons%26psc%3D1&qualifier=1665259227&id=8433320028702995&widgetName=sp_btf
"ZAP IT! Bug Zapper Battery Powered (2xAA Included) Bug Zapper Racket, 3,500 Volt  ",4.3 out of 5 stars,"5,236  ",24.99,https://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg3_1?ie=UTF8&adId=A09111532W84WQ6RC7LEJ&url=%2FZAP-Bug-Zapper-Battery-Mosquito%2Fdp%2FB07KZQKWVP%2Fref%3Dsr_1_54_sspa%3Fkeywords%3Dzep%26qid%3D1665259227%26qu%3DeyJxc2MiOiI1LjcxIiwicXNhIjoiNS41MSIsInFzcCI6IjUuNjcifQ%253D%253D%26sr%3D8-54-spons%26psc%3D1&qualifier=1665259227&id=8433320028702995&widgetName=sp_btf
Zep Spirit II Disinfectant and Sanitizing Towels - 80 Wipes (Case of 6) R53380 - EPA Registered Kills 99.9% of Germs  ,4.2 out of 5 stars,10  ,49.99,https://amazon.com/sspa/click?ie=UTF8&spc=MTo0NDYzOTU3MTM5NTg2MTY0OjE2NjUyNTkyMzA6c3BfYXRmX25leHQ6MjAwMDgzNjU3NTQwNjUxOjowOjo&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA&url=%2FZep-Disinfectant-Sanitizing-Container-Registered%2Fdp%2FB08QV4S3DH%2Fref%3Dsr_1_49_sspa%3Fkeywords%3Dzep%26qid%3D1665259230%26qu%3DeyJxc2MiOiI1LjcxIiwicXNhIjoiNS41MSIsInFzcCI6IjUuNjcifQ%253D%253D%26sr%3D8-49-spons%26psc%3D1%26smid%3DA5QOENN4ZUGJ1
Zep Formula 50 Heavy-Duty Alkaline Cleaner 1 Gal (Case of 4) 85924  ,4.7 out of 5 stars,26  ,85.35,https://amazon.com/sspa/click?ie=UTF8&spc=MTo0NDYzOTU3MTM5NTg2MTY0OjE2NjUyNTkyMzA6c3BfYXRmX25leHQ6MjAwMDM2OTc2MzMzMjk4OjowOjo&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA&url=%2FZep-Formula-Alkaline-Cleaner-85924%2Fdp%2FB0829D8L74%2Fref%3Dsr_1_50_sspa%3Fkeywords%3Dzep%26qid%3D1665259230%26qu%3DeyJxc2MiOiI1LjcxIiwicXNhIjoiNS41MSIsInFzcCI6IjUuNjcifQ%253D%253D%26sr%3D8-50-spons%26psc%3D1
Zep All-Purpose Cleaner and Degreaser 32 Ounce ZUALL32 (Case of 12) Cleans Almost Any Surface  ,4.6 out of 5 stars,72  ,39.99,https://amazon.com/Zep-All-Purpose-Cleaner-Degreaser-Ounce/dp/B07VB9Z7JS/ref=sr_1_51?keywords=zep&qid=1665259230&qu=eyJxc2MiOiI1LjcxIiwicXNhIjoiNS41MSIsInFzcCI6IjUuNjcifQ%3D%3D&sr=8-51
Zep Formula 50 Heavy-Duty Alkaline Cleaner 1 Gal (Case of 4) 85924  ,4.7 out of 5 stars,26  ,85.35,https://amazon.com/Zep-Formula-Alkaline-Cleaner-85924/dp/B0829D8L74/ref=sr_1_52?keywords=zep&qid=1665259230&qu=eyJxc2MiOiI1LjcxIiwicXNhIjoiNS41MSIsInFzcCI6IjUuNjcifQ%3D%3D&sr=8-52
"Zep Fast 505 Cleaner and Degreaser - 32 Ounce (Case of 2) - ZU50532 - Great for Grills, Plastics, Metal, and More!  ",4.4 out of 5 stars,"1,052  ",12.99,https://amazon.com/Zep-Fast-Cleaner-Degreaser-ZU50532/dp/B07X3X1RQJ/ref=sr_1_53?keywords=zep&qid=1665259230&qu=eyJxc2MiOiI1LjcxIiwicXNhIjoiNS41MSIsInFzcCI6IjUuNjcifQ%3D%3D&sr=8-53
"Zep Fast 505 Cleaner and Degreaser - 1 Gallon - ZU505128 - Great for Grills, Plastics, Metal, and More! (4)  ",4.6 out of 5 stars,139  ,42.26,https://amazon.com/ZEP-Cleaner-Degreaser-Ounce-ZU505128/dp/B079ZP5TCN/ref=sr_1_54?keywords=zep&qid=1665259230&qu=eyJxc2MiOiI1LjcxIiwicXNhIjoiNS41MSIsInFzcCI6IjUuNjcifQ%3D%3D&sr=8-54
Zep Heavy-Duty Citrus Cleaner and Degreaser - 1 Gallon (Case of 2) ZUCIT128CA - Concentrated Pro Formula  ,4.3 out of 5 stars,140  ,39.99,https://amazon.com/Zep-Heavy-Duty-Degreaser-ZUCIT128-California/dp/B07TFBK1YG/ref=sr_1_55?keywords=zep&qid=1665259230&qu=eyJxc2MiOiI1LjcxIiwicXNhIjoiNS41MSIsInFzcCI6IjUuNjcifQ%3D%3D&sr=8-55
Zep Industrial Heavy-Duty Floor Stripper Concentrate - 1 Gallon (Case of 4) ZULFFS128 - Remove Stubborn Finishes and Heavy Buildup  ,4.5 out of 5 stars,133  ,39.92,https://amazon.com/Zep-Heavy-Duty-Floor-Stripper-ZULFFS128/dp/B07HCX5J15/ref=sr_1_56?keywords=zep&qid=1665259230&qu=eyJxc2MiOiI1LjcxIiwicXNhIjoiNS41MSIsInFzcCI6IjUuNjcifQ%3D%3D&sr=8-56
"Zep Pet Stain and Odor Remover ZUPETODR (pack of 2) Formulated for Urine, Feces, Vomit and Odors  ",4.6 out of 5 stars,510  ,19.88,https://amazon.com/Zep-Stain-Odor-Remover-ZUPETODR/dp/B07S7S1K3J/ref=sr_1_57?keywords=zep&qid=1665259230&qu=eyJxc2MiOiI1LjcxIiwicXNhIjoiNS41MSIsInFzcCI6IjUuNjcifQ%3D%3D&sr=8-57
"Zep 10 Minute Drain Opener Gel 64 Ounce (Case of 1) ZHCR64NG - Commercial Strength, Fast Acting and Safe For All Pipes  ",4.1 out of 5 stars,160  ,23.2,https://amazon.com/Zep-Minute-Drain-Opener-ZHCR64NG/dp/B07KN54K9P/ref=sr_1_58?keywords=zep&qid=1665259230&qu=eyJxc2MiOiI1LjcxIiwicXNhIjoiNS41MSIsInFzcCI6IjUuNjcifQ%3D%3D&sr=8-58
"Zep All Purpose Surface Disinfectant - 1 Gallon (Case of 4) ZUAPBD128 - Virucidal, Fungicidal, Mildewstat, Kills 99.9 Percent of Germs in 60 Seconds  ",4.7 out of 5 stars,47  ,49.99,https://amazon.com/sspa/click?ie=UTF8&spc=MTo0NDYzOTU3MTM5NTg2MTY0OjE2NjUyNTkyMzA6c3BfbXRmOjIwMDA0NTY0NDgzMDE1MTo6MDo6&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&url=%2FZep-Purpose-Surface-Disinfectant-ZUAPBD128%2Fdp%2FB08J4D7366%2Fref%3Dsr_1_59_sspa%3Fkeywords%3Dzep%26qid%3D1665259230%26qu%3DeyJxc2MiOiI1LjcxIiwicXNhIjoiNS41MSIsInFzcCI6IjUuNjcifQ%253D%253D%26sr%3D8-59-spons%26psc%3D1
Zep 40 Non-Streaking Multi-Surface Cleaner Aerosol - 18 Ounces (Case of 12) 14401 - Heavy Duty Foaming Action  ,4.5 out of 5 stars,64  ,99.99,https://amazon.com/sspa/click?ie=UTF8&spc=MTo0NDYzOTU3MTM5NTg2MTY0OjE2NjUyNTkyMzA6c3BfbXRmOjIwMDAzNjk3NjMzMzE5ODo6MDo6&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&url=%2FZep014401-Non-streaking-Non-conductive-Surfaces-Sioux%2Fdp%2FB018A1SCTG%2Fref%3Dsr_1_60_sspa%3Fkeywords%3Dzep%26qid%3D1665259230%26qu%3DeyJxc2MiOiI1LjcxIiwicXNhIjoiNS41MSIsInFzcCI6IjUuNjcifQ%253D%253D%26sr%3D8-60-spons%26psc%3D1
Zep Ammonia Free Glass Cleaner Concentrate 1 Gallon (Case of 4) ZU1052 - Commercial Strength  ,4.6 out of 5 stars,219  ,42.99,https://amazon.com/Zep-Ammonia-Cleaner-Concentrate-ZU1052/dp/B07T4K3TNX/ref=sr_1_61?keywords=zep&qid=1665259230&qu=eyJxc2MiOiI1LjcxIiwicXNhIjoiNS41MSIsInFzcCI6IjUuNjcifQ%3D%3D&sr=8-61
"Zep Industrial CLR Calcium, Lime and Rust Remover - 1 Gallon (Case of 4) ZUCAL128 - Professional Grade Formula  ",4.4 out of 5 stars,62  ,49.99,https://amazon.com/Zep-Calcium-Remover-ounce-ZUCAL/dp/B07STCQBPD/ref=sr_1_63?keywords=zep&qid=1665259230&qu=eyJxc2MiOiI1LjcxIiwicXNhIjoiNS41MSIsInFzcCI6IjUuNjcifQ%3D%3D&sr=8-63
"Zep Heavy-Duty TKO Hand Cleaner - 1 Gallon (Case of 4) R54824 - No Pump, Refill Only - The GO-to Industrial Hand Cleaner for Pros That Actually Works!  ",4.5 out of 5 stars,8  ,158.65,https://amazon.com/Zep-Heavy-Duty-TKO-Hand-Cleaner/dp/B07K7VRXLQ/ref=sr_1_64?keywords=zep&qid=1665259230&qu=eyJxc2MiOiI1LjcxIiwicXNhIjoiNS41MSIsInFzcCI6IjUuNjcifQ%3D%3D&sr=8-64
"Zep Commercial 1041689 High Traffic Carpet Cleaner, 128 oz Bottle  ",4.3 out of 5 stars,16  ,23.75,https://amazon.com/Commercial-1041689-Traffic-Carpet-Cleaner/dp/B00O25IFCE/ref=sr_1_66?keywords=zep&qid=1665259230&qu=eyJxc2MiOiI1LjcxIiwicXNhIjoiNS41MSIsInFzcCI6IjUuNjcifQ%3D%3D&sr=8-66
ZEP 48 oz. Orange Heavy-Duty Cleaner  ,5.0 out of 5 stars,1  ,32.49,https://amazon.com/ZEP-oz-Orange-Heavy-Duty-Cleaner/dp/B00KQK062G/ref=sr_1_67?keywords=zep&qid=1665259230&qu=eyJxc2MiOiI1LjcxIiwicXNhIjoiNS41MSIsInFzcCI6IjUuNjcifQ%3D%3D&sr=8-67
Zep No Rinse Floor Disinfectant - 1 Gallon (Case of 4) ZUNRS128 - Fights Dangerous Bacteria and Viruses  ,4.9 out of 5 stars,92  ,49.99,https://amazon.com/Zep-Rinse-Floor-Disinfectant-Ounce/dp/B07N7T69KT/ref=sr_1_68?keywords=zep&qid=1665259230&qu=eyJxc2MiOiI1LjcxIiwicXNhIjoiNS41MSIsInFzcCI6IjUuNjcifQ%3D%3D&sr=8-68
Zep Surface Disinfectant & Sanitizer Spray - 20 Ounce (Case of 12) 1050102 - EPA Registered Bactericidal – Antibacterial – Fungicidal - Virucidal  ,5.0 out of 5 stars,1  ,69.99,https://amazon.com/sspa/click?ie=UTF8&spc=MTo0NDYzOTU3MTM5NTg2MTY0OjE2NjUyNTkyMzA6c3BfYnRmOjIwMDA4MzY1NjczMDI1MTo6MDo6&sp_csd=d2lkZ2V0TmFtZT1zcF9idGY&url=%2FZep-Disinfectant-Sanitizer-Registered-Bactericidal%2Fdp%2FB08XVVXT35%2Fref%3Dsr_1_69_sspa%3Fkeywords%3Dzep%26qid%3D1665259230%26qu%3DeyJxc2MiOiI1LjcxIiwicXNhIjoiNS41MSIsInFzcCI6IjUuNjcifQ%253D%253D%26sr%3D8-69-spons%26psc%3D1
"Zep Formula 50 Heavy-Duty Alkaline Cleaner - 20 Gallons (One Drum) 85950 - Does Not Contain Petroleum or Chlorinated Solvents (Business Only, Delivered Via Truck)  ",5.0 out of 5 stars,1  ,358.0,https://amazon.com/sspa/click?ie=UTF8&spc=MTo0NDYzOTU3MTM5NTg2MTY0OjE2NjUyNTkyMzA6c3BfYnRmOjIwMDAzNjk3NjMzMzY5ODo6MDo6&sp_csd=d2lkZ2V0TmFtZT1zcF9idGY&url=%2FZep-Formula-Heavy-Duty-Alkaline-Cleaner%2Fdp%2FB08FJGQGJ4%2Fref%3Dsr_1_70_sspa%3Fkeywords%3Dzep%26qid%3D1665259230%26qu%3DeyJxc2MiOiI1LjcxIiwicXNhIjoiNS41MSIsInFzcCI6IjUuNjcifQ%253D%253D%26sr%3D8-70-spons%26psc%3D1
